id,name,description,best_for,sostac_phase,file,tags
swot-tows,SWOT + TOWS Analysis,"Maps internal strengths/weaknesses against external opportunities/threats; then crosses quadrants to generate strategic options.","Comprehensive situation assessment; strategic direction generation; identifying internal vs external factors","Situation",frameworks/swot-tows.md,"swot,tows,situation-analysis,strategic-options"
pestle,PESTLE Analysis,"Scans the macro-environment across Political, Economic, Social, Technological, Legal, Environmental dimensions.","Identifying external forces affecting the business; regulatory scanning; macro-environment assessment","Situation",frameworks/pestle.md,"pestle,macro-environment,external-analysis,regulatory"
porters-five-forces,Porter's Five Forces,"Assesses structural industry attractiveness by rating five competitive forces.","Understanding competitive dynamics; industry profitability drivers; supplier and buyer power assessment","Situation",frameworks/porters-five-forces.md,"porters,competitive-analysis,industry-structure,rivalry"
tam-sam-som,TAM / SAM / SOM Market Sizing,"Estimates addressable market at three levels using bottom-up calculation.","Sizing the market opportunity; setting realistic share targets; investor-ready market estimates","Situation",frameworks/tam-sam-som.md,"market-sizing,tam,sam,som,addressable-market"
jtbd,Jobs-to-be-Done (JTBD),"Frames customer motivation as functional, emotional, and social jobs they hire a product to accomplish.","Understanding customer motivation; feeding positioning and messaging; customer research","Situation",frameworks/jtbd.md,"jtbd,customer-research,jobs,motivation,positioning-input"
digital-maturity-5s,Digital Maturity Model (5S),"Baseline assessment of digital marketing maturity across Sell, Serve, Speak, Save, Sizzle dimensions.","Scoring current digital capability; identifying gaps for objectives; benchmarking maturity","Situation",frameworks/digital-maturity-5s.md,"5s,digital-maturity,baseline,pr-smith,capability-assessment"
okr-framework,OKR Framework,"Objectives and Key Results — qualitative inspiring objective paired with quantitative time-bound key results.","Setting stretch goals with measurable outcomes; review cadence; cross-team alignment","Objectives",frameworks/okr-framework.md,"okr,objectives,key-results,goal-setting,stretch-targets"
race-framework,RACE Framework,"Digital marketing planning model covering Reach, Act, Convert, Engage lifecycle stages.","Ensuring objectives cover all funnel stages; mapping KPIs to customer lifecycle","Objectives",frameworks/race-framework.md,"race,reach,act,convert,engage,funnel-coverage"
5s-objectives,PR Smith's 5S Objectives,"Five objective categories — Sell, Serve, Speak, Save, Sizzle — ensuring objectives go beyond revenue.","Broadening objective scope beyond sales metrics; service and brand objectives","Objectives",frameworks/5s-objectives.md,"5s,objectives,sell,serve,speak,save,sizzle"
objective-cascade,Objective Cascade Method,"Works backwards from business revenue goal through marketing contribution to channel-level sub-objectives.","Building bottom-up channel targets from a top-line revenue goal; conversion benchmarking","Objectives",frameworks/objective-cascade.md,"cascade,revenue-goal,channel-targets,conversion-benchmarks"
stp,STP: Segmentation Targeting Positioning,"Core strategic sequence — divide market into segments, choose which to pursue, define positioning.","Defining target segments; competitive positioning; perceptual mapping","Strategy",frameworks/stp.md,"stp,segmentation,targeting,positioning,perceptual-map"
positioning-statement,Moore's Positioning Statement Formula,"Fill-in-the-blank template for writing a precise, differentiated positioning statement.","Crafting a defensible positioning statement; differentiation messaging; customer language","Strategy",frameworks/positioning-statement.md,"positioning,moores-formula,differentiation,messaging"
ansoff-matrix,Ansoff Matrix,"2x2 growth strategy matrix across existing/new markets and existing/new products.","Determining growth direction; assessing risk level; connecting growth strategy to channels","Strategy",frameworks/ansoff-matrix.md,"ansoff,growth-strategy,market-penetration,diversification"
porters-generic-strategies,Porter's Generic Strategies,"Three fundamental competitive advantage approaches — Cost Leadership, Differentiation, or Focus.","Choosing competitive strategy; avoiding stuck-in-the-middle; aligning messaging to strategy","Strategy",frameworks/porters-generic-strategies.md,"porters,cost-leadership,differentiation,focus,competitive-advantage"
blue-ocean,Blue Ocean Strategy — 4 Actions Framework,"Tool for finding uncontested market space by eliminating, reducing, raising, and creating factors.","Breaking out of commoditised markets; high competitive rivalry situations; strategy canvas","Strategy",frameworks/blue-ocean.md,"blue-ocean,4-actions,strategy-canvas,differentiation,uncontested-market"
value-proposition-canvas,Value Proposition Canvas (Osterwalder),"Maps business offerings against customer jobs, pains, and gains to ensure product-market fit.","Ensuring features connect to real customer needs; pain/gain mapping; product-market fit","Strategy",frameworks/value-proposition-canvas.md,"vpc,value-proposition,osterwalder,jobs,pains,gains,fit"
ovp,Online Value Proposition (OVP) — PR Smith,"Articulates why a customer should engage with the brand online versus alternatives.","Defining unique digital experience advantage; differentiating from offline and competitors","Strategy",frameworks/ovp.md,"ovp,online-value-proposition,digital-experience,pr-smith"
customer-journey-mapping,Customer Journey Mapping,"Visual representation of every step from problem recognition to advocacy with actions, thoughts, and emotions.","Identifying journey pain points and gaps; mapping touchpoints; feeding tactic requirements","Strategy",frameworks/customer-journey-mapping.md,"journey-map,customer-journey,touchpoints,mckinsey-cdj,pain-points"
aarrr-pirate-metrics,AARRR Pirate Metrics (Dave McClure),"Five-stage funnel model — Acquisition, Activation, Retention, Revenue, Referral — to diagnose growth levers.","Identifying the biggest funnel leak; prioritising tactical investment; growth diagnostics","Tactics",frameworks/aarrr-pirate-metrics.md,"aarrr,pirate-metrics,funnel,acquisition,activation,retention,revenue,referral"
ice-scoring,ICE Scoring (Sean Ellis),"Prioritisation framework scoring tactics on Impact, Confidence, and Ease to produce a ranked backlog.","Ranking candidate tactics into a prioritised execution backlog; sprint planning input","Tactics",frameworks/ice-scoring.md,"ice,prioritisation,scoring,backlog,impact,confidence,ease"
pie-framework,PIE Framework (Goward),"CRO-specific prioritisation scoring pages/experiments on Potential, Importance, and Ease.","Prioritising conversion rate optimisation experiments; A/B test planning","Tactics",frameworks/pie-framework.md,"pie,cro,prioritisation,experiments,testing"
hub-hero-help,Hub-Hero-Help Content Model,"Three-tier content strategy allocating content types by audience scale, frequency, and intent.","Structuring content production cadence; balancing brand vs search content; editorial calendar","Tactics",frameworks/hub-hero-help.md,"hub,hero,help,content-strategy,content-tiers,production-cadence"
pillar-cluster,Pillar-Cluster SEO Model,"Site architecture with broad pillar pages and supporting cluster pages, all interlinked.","Building topical authority; structured content architecture; internal linking strategy","Tactics",frameworks/pillar-cluster.md,"pillar,cluster,seo,content-architecture,internal-linking,topical-authority"
tofu-mofu-bofu,TOFU / MOFU / BOFU,"Content classification system aligned to buyer decision journey — Top, Middle, Bottom of Funnel.","Auditing content coverage by funnel stage; identifying content gaps; funnel mapping","Tactics",frameworks/tofu-mofu-bofu.md,"tofu,mofu,bofu,funnel,content-classification,buyer-journey"
7p-marketing-mix,7P Marketing Mix,"Expanded marketing mix — Product, Price, Place, Promotion, People, Process, Physical Evidence.","Ensuring tactics address all 7Ps; service marketing audit; digital translation of each P","Tactics",frameworks/7p-marketing-mix.md,"7p,marketing-mix,product,price,place,promotion,people,process,physical-evidence"
budget-rule-70-20-10,70/20/10 Budget Rule,"Budget allocation — 70% proven core, 20% emerging/scaling, 10% experimental/new bets.","Allocating channel budget with appropriate risk distribution; balancing proven vs experimental","Tactics",frameworks/budget-rule-70-20-10.md,"budget,70-20-10,allocation,core,emerging,experimental"
