id,name,description,best_for,seo_domain,file,tags
technical-audit,Technical Audit,"Crawlability, indexation, speed, mobile, security, and on-page SEO checklists",Site audits; diagnosing crawl/index/speed issues; quarterly health checks,Technical SEO,frameworks/technical-audit.md,"audit, crawlability, indexation, mobile, security, on-page"
schema-markup,Schema Markup,"JSON-LD examples for FAQ, HowTo, Product, Review, Article, Organization, LocalBusiness, Breadcrumb",Implementing or auditing structured data; rich result eligibility,Technical SEO,frameworks/schema-markup.md,"schema, json-ld, structured-data, rich-results"
core-web-vitals,Core Web Vitals,"LCP, CLS, INP targets, optimization fixes, and testing tools",Page speed audits; diagnosing CWV failures; performance optimization,Technical SEO,frameworks/core-web-vitals.md,"cwv, lcp, cls, inp, performance, speed"
internal-linking,Internal Linking,"Goals, best practices, hub-and-spoke model, and audit checklist",Internal link audits; topic cluster architecture; link equity distribution,Technical SEO,frameworks/internal-linking.md,"internal-links, hub-spoke, anchor-text, link-equity"
site-architecture,Site Architecture,"URL structure guidelines, URL examples, and site depth rules",URL redesigns; site restructuring; crawl depth optimization,Technical SEO,frameworks/site-architecture.md,"url-structure, site-depth, architecture, flat-hierarchy"
sitemap-robots,Sitemap and Robots.txt,"XML sitemap guidelines and robots.txt best practices",Sitemap audits; robots.txt configuration; crawl control,Technical SEO,frameworks/sitemap-robots.md,"sitemap, robots-txt, crawl-control, xml"
international-seo,International SEO,"Hreflang tag format, key rules, and common language-region codes",Multi-language or multi-region sites; hreflang implementation and audits,Technical SEO,frameworks/international-seo.md,"hreflang, i18n, multilingual, multi-region"
javascript-seo,JavaScript SEO,"JS rendering considerations, SEO checklist, and framework-specific guidance",JS-heavy sites; SPA SEO audits; SSR/SSG recommendations,Technical SEO,frameworks/javascript-seo.md,"javascript, ssr, ssg, spa, rendering, nextjs, nuxt"
ai-overview-optimization,AI Overview Optimization,"Content structure, technical optimization, AI crawler config, citation patterns, and monitoring",Optimizing for AI Overviews; GEO/AEO strategy; AI crawler management,Content SEO,frameworks/ai-overview-optimization.md,"geo, aeo, ai-overview, ai-search, citation, llm"
programmatic-qualification,Qualification,"Go/no-go criteria for deciding whether pSEO is appropriate",Evaluating whether a page family should use programmatic SEO,Programmatic SEO,frameworks/programmatic-qualification.md,"pseo, qualification, go-no-go, evaluation"
programmatic-page-archetypes,Page Archetypes,"Location, directory, integration, comparison, glossary, and catalog page patterns",Choosing the right pSEO page model for a use case,Programmatic SEO,frameworks/programmatic-page-archetypes.md,"pseo, archetypes, templates, page-types, directory, location"
programmatic-opportunity-mapping,Opportunity Mapping,"Opportunity map template with fields for demand, intent, data, and risks",Planning pSEO page families before template design,Programmatic SEO,frameworks/programmatic-opportunity-mapping.md,"pseo, opportunity-map, planning, demand-analysis"
programmatic-data-contract,Data Contract,"Required/optional/derived fields, freshness rules, and missing-data handling",Defining data requirements before building pSEO templates,Programmatic SEO,frameworks/programmatic-data-contract.md,"pseo, data-contract, fields, freshness, data-quality"
programmatic-template-spec,Template Spec,"Intent mapping, URL patterns, on-page blocks, and uniqueness thresholds",Writing pSEO template specifications before content generation,Programmatic SEO,frameworks/programmatic-template-spec.md,"pseo, template, spec, url-pattern, uniqueness"
programmatic-internal-linking,Internal Linking (pSEO),"Hub/child/relationship/editorial linking layers and relationship logic",Designing internal link systems for programmatic page families,Programmatic SEO,frameworks/programmatic-internal-linking.md,"pseo, internal-links, hub-child, relationship-logic"
programmatic-indexation,Indexation,"Canonical rules, indexation rules, sitemap rules for pSEO families",Setting indexation policy for large-scale page rollouts,Programmatic SEO,frameworks/programmatic-indexation.md,"pseo, indexation, canonical, noindex, sitemap"
programmatic-launch-strategy,Launch Strategy,"Batch launch sequence, QA checklist, and sampling guidance",Launching pSEO page cohorts safely with QA gates,Programmatic SEO,frameworks/programmatic-launch-strategy.md,"pseo, launch, batch, qa, rollout"
programmatic-monitoring,Monitoring,"Template-family KPIs and diagnostic patterns",Tracking pSEO performance post-launch; diagnosing cohort issues,Programmatic SEO,frameworks/programmatic-monitoring.md,"pseo, monitoring, kpis, performance, diagnostics"
programmatic-refresh-pruning,Refresh and Pruning,"Refresh triggers, prune triggers, and prune action options",Maintaining pSEO index health; deciding what to refresh or remove,Programmatic SEO,frameworks/programmatic-refresh-pruning.md,"pseo, refresh, pruning, maintenance, index-health"
programmatic-anti-cannibalization,Anti-Cannibalization,"Rules for preventing template overlap and intent collision",Preventing keyword cannibalization across pSEO template families,Programmatic SEO,frameworks/programmatic-anti-cannibalization.md,"pseo, cannibalization, intent-mapping, overlap"
programmatic-response-protocol,Response Protocol,"Step-by-step protocol for handling pSEO requests",Structuring responses when users ask about programmatic SEO,Programmatic SEO,frameworks/programmatic-response-protocol.md,"pseo, protocol, workflow, response"
programmatic-good-recommendations,Good Recommendations,"Criteria for strong vs weak pSEO recommendations",Quality-checking pSEO advice before delivering it,Programmatic SEO,frameworks/programmatic-good-recommendations.md,"pseo, quality, recommendations, best-practices"
