id,name,description,best_for,content_phase,file,tags
topic-cluster-model,Topic Cluster Model,Strategic approach to organizing site content around pillar topics supported by interlinked cluster articles to build topical authority,Building out SEO content strategy,planning,frameworks/topic-cluster-model.md,"seo,structure,pillar-pages,interlinking"
content-funnel-mapping,Content Funnel Mapping,Maps content types and gating strategies to TOFU/MOFU/BOFU funnel stages with metrics for each,Deciding what content to create for a campaign,planning,frameworks/content-funnel-mapping.md,"funnel,tofu,mofu,bofu,content-mix"
skyscraper-technique,Skyscraper Technique 2.0,Updated link-building technique for the AI era focusing on genuine differentiation through original data and expert contributions,Competing for a high-value keyword,creation,frameworks/skyscraper-technique.md,"seo,link-building,outreach,differentiation"
content-repurposing,Content Repurposing Framework,1-to-20+ model for generating derivative assets across channels from a single pillar piece,Maximizing ROI of a single content piece,distribution,frameworks/content-repurposing.md,"repurposing,distribution,multi-channel,derivatives"
content-scoring-model,Content Scoring Model,Rubric-based scoring system evaluating quality depth originality engagement SEO value and conversion potential,Evaluating whether to publish a piece,evaluation,frameworks/content-scoring-model.md,"scoring,quality,evaluation,prioritization"
editorial-calendar,Editorial Calendar Framework,Monthly and quarterly planning structure with 70/20/10 content mix rule and assignment workflow,Planning monthly and quarterly output,planning,frameworks/editorial-calendar.md,"calendar,planning,cadence,workflow"
case-study-framework,Case Study Framework,STAR template (Situation-Task-Action-Result) for writing data-driven customer success stories,Writing a customer success story,creation,frameworks/case-study-framework.md,"case-study,storytelling,customer-success,STAR"
content-brief-template,Content Brief Template,Comprehensive 10-field brief template covering keyword targeting SEO specs outline competitive analysis and style guidance,Assigning a content piece to a writer,planning,frameworks/content-brief-template.md,"brief,template,assignment,seo-specs"
ai-content-workflow,AI Content Workflow,Human-AI collaboration model with suitability matrix quality control checklist and tool recommendations by production stage,Incorporating AI into your workflow,creation,frameworks/ai-content-workflow.md,"ai,workflow,collaboration,quality-control"
conversion-copywriting,Conversion Copywriting for Landing and Pricing Pages,Page structure CTA formulas headline frameworks and pricing page rules for conversion-focused copy,Writing conversion copy for landing/pricing pages,creation,frameworks/conversion-copywriting.md,"copywriting,landing-pages,pricing,conversion,cta"
framework-selection-guide,Framework Selection Guide,Quick reference table mapping common content marketing situations to the appropriate framework,Choosing the right framework for any situation,planning,frameworks/framework-selection-guide.md,"guide,selection,quick-reference"
