id,name,description,best_for,analytics_domain,file,tags
ga4-setup,GA4 Setup Checklist & Event Taxonomy,Complete GA4 configuration checklist covering account setup; consent and privacy; enhanced measurement; and custom event taxonomy for engagement; conversion; product; and e-commerce events,Initial GA4 property configuration; event tracking implementation; e-commerce tracking setup,tracking,frameworks/ga4-setup.md,ga4;tracking;events;e-commerce;consent;setup
utm-standards,UTM Parameter Standards,Quick reference for UTM parameter naming conventions including source; medium; campaign; term; and content parameters,Campaign URL tagging; traffic source classification; marketing channel identification,tracking,frameworks/utm-standards.md,utm;tracking;campaign-tagging;naming-conventions
attribution-models,Marketing Attribution Models,Comprehensive comparison of attribution models (last-click; first-click; linear; time-decay; position-based; data-driven; MMM) with selection guide and incrementality testing,Choosing the right attribution model; understanding channel contribution; incrementality measurement,attribution,frameworks/attribution-models.md,attribution;multi-touch;incrementality;data-driven;mmm
dashboard-design,Dashboard Design Frameworks,Templates for executive; channel; campaign; and content dashboards with key metrics; audiences; update cadences; and design best practices,Building marketing dashboards; defining KPI visualizations; stakeholder reporting,reporting,frameworks/dashboard-design.md,dashboards;reporting;visualization;kpis;executive
ab-test-design,A/B Test Design Framework,End-to-end A/B testing methodology covering hypothesis formation; sample size calculation; test execution checklist; analysis decision framework; and common mistakes,Designing statistically valid A/B tests; calculating sample sizes; interpreting test results,experimentation,frameworks/ab-test-design.md,ab-testing;experimentation;hypothesis;sample-size;statistics
cohort-analysis,Cohort Analysis Methodology,Methodology for acquisition; behavioral; and channel cohorts with retention table templates and guidance on reading cohort data for retention and product-market fit signals,User retention analysis; product-market fit assessment; channel quality comparison,retention,frameworks/cohort-analysis.md,cohorts;retention;product-market-fit;acquisition;behavioral
customer-ltv,Customer LTV Calculation Methods,Four LTV calculation methods (historical; predictive; cohort-based; DCF) with formulas; examples; and LTV:CAC ratio and payback period benchmarks,Calculating customer lifetime value; LTV:CAC ratio analysis; payback period assessment,revenue,frameworks/customer-ltv.md,ltv;cac;payback;revenue;unit-economics
funnel-analysis,Funnel Analysis Framework,Three-step funnel methodology (identify; measure; optimize) with standard and SaaS funnel stages; benchmark conversion rates; and visualization best practices,Mapping conversion funnels; identifying drop-off points; optimizing stage transitions,conversion,frameworks/funnel-analysis.md,funnel;conversion;drop-off;optimization;saas
marketing-mix-modeling,Marketing Mix Modeling (MMM),When to use MMM; the six-step MMM process; and comparison of open-source tools (Meta Robyn; Google Meridian; PyMC Marketing; Lightweight MMM),Budget allocation optimization for large multi-channel programs; offline channel measurement,attribution,frameworks/marketing-mix-modeling.md,mmm;budget-allocation;regression;robyn;meridian
data-quality,Data Quality & Governance,Data quality checklist for tracking validation and reporting hygiene rules for maintaining reliable analytics,Auditing tracking implementation; establishing reporting standards; preventing analytics debt,governance,frameworks/data-quality.md,data-quality;governance;auditing;tracking-validation;hygiene
