id,name,description,best_for,program_type,file,tags
1,Referral Program Launch Checklist (30-Day Plan),Week-by-week checklist covering foundation setup through public launch and optimization cadence,Launching a new referral program from scratch,Planning,frameworks/referral-launch-checklist.md,checklist;launch;30-day;setup;tracking;promotion
2,Incentive Calculator Framework,Step-by-step calculator for determining referral budget allocation and modeling program economics,Setting referral reward amounts and validating against margins,Referral,frameworks/incentive-calculator.md,calculator;incentive;budget;LTV;margins;economics
3,Referral Email Templates,Five ready-to-use email templates covering invitation; reminder; reward notification; welcome; and monthly digest,Email communications throughout the referral lifecycle,Referral,frameworks/referral-email-templates.md,email;templates;invitation;reminder;reward;digest
4,In-App Referral Prompt Copy Templates,Copy templates for post-purchase prompts; milestone prompts; NPS follow-ups; feature discovery; and dashboard widgets,Adding referral prompts inside web or mobile apps,Referral,frameworks/in-app-referral-prompts.md,in-app;prompts;copy;UX;NPS;dashboard
5,Affiliate Onboarding Sequence,Six-email drip sequence from Day 0 welcome through Day 30 community and growth recap,Onboarding new affiliates with assets and performance coaching,Affiliate,frameworks/affiliate-onboarding.md,affiliate;onboarding;drip;sequence;assets;performance
6,Partner Program Tier Structure,Four-tier partner structure (Registered through Platinum) with qualification criteria; benefits; and progression notifications,Designing a structured partner program with escalating benefits,Partner,frameworks/partner-tier-structure.md,partner;tiers;qualification;benefits;progression;revenue-share
7,Co-Marketing Agreement Template Outline,Eleven-section agreement template covering parties; objectives; activities; data sharing; budget; and measurement,Formalizing co-marketing partnerships with clear terms,Partner,frameworks/co-marketing-agreement.md,co-marketing;agreement;template;legal;budget;data-sharing
8,Referral Program A/B Test Ideas (25 Tests),Thirty test ideas across incentives; referral pages; landing pages; timing; channels; and advanced mechanics,Optimizing an existing referral program through experimentation,Testing,frameworks/referral-ab-tests.md,ab-test;optimization;experimentation;conversion;incentive;gamification
9,Referral Landing Page Framework,Wireframe layout for above-the-fold and below-the-fold sections plus key design principles,Designing or auditing a referral landing page for referred users,Referral,frameworks/referral-landing-page.md,landing-page;wireframe;design;conversion;mobile-first
10,Partner Pitch Email Templates,Four email templates for cold outreach; integration proposals; co-marketing pitches; and affiliate invitations,Reaching out to potential partners and affiliates,Partner,frameworks/partner-pitch-emails.md,partner;pitch;outreach;email;integration;co-marketing
11,Referral Program KPI Targets,Benchmark table with Minimum Viable; Good; and Excellent targets for ten core referral metrics,Setting targets and evaluating referral program performance,Reference,frameworks/referral-kpi-targets.md,KPI;benchmarks;targets;metrics;performance;ROI
