id,name,description,best_for,community_phase,file,tags
90-day-launch-plan,90-Day Launch Plan,"Week-by-week plan covering foundation, soft launch, and growth phases over 90 days",Planning a new community launch from scratch,Launch,frameworks/90-day-launch-plan.md,launch;planning;90-day;timeline;weekly-actions
founding-member-recruitment,Founding Member Recruitment,"Playbook for identifying, recruiting, and onboarding founding members",Recruiting the first 20-50 members before public launch,Launch,frameworks/founding-member-recruitment.md,founding-members;recruitment;outreach;invitations;beta
onboarding-flow-design,Onboarding Flow Design,"Step-by-step onboarding sequence for the first 48 hours and beyond",Designing or fixing new member onboarding experience,Onboarding,frameworks/onboarding-flow-design.md,onboarding;welcome;activation;retention;first-48-hours
content-calendar,Content Calendar,"Daily themes, weekly features, monthly events, and quarterly programming templates",Planning community content and event cadence,Content,frameworks/content-calendar.md,content;calendar;events;weekly-rhythm;monthly-programming
ambassador-program,Ambassador and Champion Program,"Three-tier ambassador framework with criteria, responsibilities, and rewards",Building a structured ambassador or champion program,Programs,frameworks/ambassador-program.md,ambassador;champion;advocate;tiers;recognition
gamification-framework,Gamification Framework,"Points system, levels, badges, and leaderboard design for community engagement",Adding or designing gamification mechanics,Engagement,frameworks/gamification-framework.md,gamification;points;badges;levels;leaderboard
community-health-dashboard,Community Health Dashboard,"Weekly metrics, monthly business impact metrics, and health scoring",Tracking community health and reporting to leadership,Health,frameworks/community-health-dashboard.md,metrics;health-score;dashboard;reporting;analytics
scaling-playbook,Scaling Playbook,"Staffing recommendations, volunteer moderator program, and community-led moderation",Scaling team and moderation as community grows,Scale,frameworks/scaling-playbook.md,scaling;hiring;moderators;staffing;growth
platform-migration,Platform Migration,"Migration timeline, communication templates, and risk mitigation",Moving community to a new platform,Migration,frameworks/platform-migration.md,migration;platform-change;transition;risk-mitigation
crisis-management,Crisis Management,"Crisis types, response protocols, communication principles, and recovery",Handling community crises or emergencies,Crisis,frameworks/crisis-management.md,crisis;conflict;emergency;recovery;communication
quick-reference-checklists,Quick-Reference Checklists,"Pre-launch, launch week, and weekly operations checklists",Quick operational reference and task tracking,Reference,frameworks/quick-reference-checklists.md,checklist;pre-launch;launch-week;weekly-ops;operations
