id,name,description,best_for,pitch_type,file,tags
1,Cold Pitch Email Template,Universal 5-element pitch structure with subject line formulas and key rules,First contact with journalists and editors,Email Outreach,frameworks/cold-pitch-template.md,pitch;email;cold-outreach;subject-lines
2,Follow-Up Sequence,Day 0-14 follow-up cadence with value-add templates and move-on rules,Managing post-pitch journalist communication,Email Outreach,frameworks/follow-up-sequence.md,follow-up;cadence;outreach;persistence
3,Pitch Types,Six specialized pitch templates: news launch; expert commentary; data study; trend piece; exclusive; embargo,Selecting and customizing the right pitch format per story type,Email Outreach,frameworks/pitch-types.md,pitch;news;expert;data;trend;exclusive;embargo
4,Press Release Template,Full press release structure with guidelines for newsworthiness and modern enhancements,Writing and distributing formal press announcements,Media Relations,frameworks/press-release-template.md,press-release;announcement;media;SEO
5,Media Kit Checklist,Required and recommended media kit contents plus press page hosting guidelines,Building and maintaining brand press assets,Media Relations,frameworks/media-kit-checklist.md,media-kit;press-page;brand-assets;checklist
6,Spokesperson Preparation,Message triangle framework; bridging phrases; Q&A prep document; interview best practices,Preparing spokespeople for media interviews,Media Relations,frameworks/spokesperson-preparation.md,spokesperson;interview;message-triangle;bridging;Q&A
7,HARO / Source Request Response Template,Response template and rules for HARO / Connectively / Qwoted journalist queries,Responding to journalist source requests for earned coverage,Email Outreach,frameworks/haro-response-template.md,HARO;connectively;source-request;earned-media
8,Podcast Pitch Template,Guest pitch template with talking points structure and podcast-specific rules,Pitching podcast hosts for guest appearances,Podcasts,frameworks/podcast-pitch-template.md,podcast;guest-pitch;speaking;audio
9,Speaking Pitch Template,Speaker proposal template with takeaways format and conference pitch tips,Pitching event organizers for speaking opportunities,Speaking,frameworks/speaking-pitch-template.md,speaking;conference;events;thought-leadership
10,Crisis Statement Templates,Four-stage crisis templates: holding; full response; update; resolution plus 8 principles,Managing crisis communications at every stage,Crisis,frameworks/crisis-statement-templates.md,crisis;statement;holding;response;resolution
11,Pitch Checklist,Pre-send verification checklist covering all pitch quality gates,Final quality check before sending any pitch,Reference,frameworks/pitch-checklist.md,checklist;quality;pre-send;verification
